,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
1619664,3,23,7,1507,1448,1636,1608,12.0,785.0,3529.0,89,80,52,1,19,187.0,199.0,297,5,32,0,0,9,0,19
2843874,5,11,7,2022,1630,2213,1815,0.0,1997.0,137.0,111,105,75,1,232,18.0,224.0,526,8,28,0,0,6,0,232
1991737,4,10,4,1319,1310,1602,1535,14.0,5872.0,5083.0,103,85,65,1,9,80.0,167.0,423,3,35,0,0,18,0,9
5394146,10,6,1,1205,1140,1418,1400,17.0,1973.0,3776.0,73,80,64,1,25,80.0,207.0,472,3,6,0,0,0,0,18
5654561,10,31,5,1307,1210,1440,1352,16.0,466.0,3134.0,93,102,70,1,57,155.0,258.0,414,4,19,0,0,36,0,12
6470344,12,4,4,2000,1950,2141,2105,17.0,2483.0,877.0,101,75,86,1,10,209.0,268.0,389,8,7,0,0,26,0,10
4891003,9,17,3,1325,1300,1418,1400,17.0,25.0,4902.0,53,60,43,1,25,76.0,130.0,239,2,8,0,0,0,0,18
4873753,9,11,4,949,940,1125,1110,17.0,1634.0,3722.0,96,90,75,1,9,249.0,268.0,480,5,16,1,0,6,0,8
126225,1,4,5,1901,1815,2057,2035,18.0,2736.0,436.0,116,140,91,1,46,73.0,96.0,569,11,14,0,0,22,0,0
1417639,3,13,4,1840,1826,2012,2005,15.0,638.0,1318.0,92,99,76,0,14,207.0,210.0,416,5,11,0,0,0,0,0
2194540,4,19,6,1609,1545,1617,1605,11.0,4286.0,3534.0,68,80,49,1,24,64.0,210.0,296,7,12,0,0,0,0,0
4063407,7,31,4,1415,1330,1614,1537,12.0,892.0,4095.0,119,127,82,1,45,87.0,150.0,508,9,28,0,37,0,0,0
177464,1,6,7,1440,1300,1555,1418,14.0,3701.0,2796.0,75,78,60,1,100,261.0,266.0,269,6,9,97,0,0,0,0
6949515,12,18,4,1141,1030,1423,1314,3.0,453.0,2855.0,162,164,138,1,71,157.0,257.0,954,12,12,0,0,69,0,0
6533844,12,24,3,1211,1045,1315,1155,17.0,3212.0,1347.0,124,130,109,1,86,220.0,258.0,651,3,12,59,0,0,0,21
3982389,7,17,4,1158,1144,1404,1354,9.0,919.0,5210.0,126,130,110,0,14,177.0,48.0,787,7,9,0,0,0,0,0
493243,1,2,3,1330,1310,1956,1859,1.0,811.0,2286.0,266,229,214,1,20,231.0,210.0,1652,36,16,0,0,44,0,13
4664160,8,10,7,2232,2216,2359,2331,12.0,142.0,4974.0,87,75,54,1,16,199.0,210.0,334,6,27,16,0,12,0,0
6889130,12,31,3,1654,1646,1800,1751,0.0,2657.0,78.0,126,125,96,0,8,120.0,181.0,570,5,25,0,0,0,0,0
4548876,8,25,1,1751,1729,2049,2030,6.0,1425.0,3654.0,298,301,269,1,22,96.0,266.0,1968,5,24,0,0,0,0,19
6273436,11,30,7,1315,1307,1707,1548,9.0,662.0,5347.0,232,161,189,1,8,131.0,215.0,1057,6,37,8,0,71,0,0
3747856,7,14,1,1535,1525,1552,1548,19.0,2710.0,5028.0,137,143,125,0,10,137.0,220.0,870,6,6,0,0,0,0,0
1186438,3,6,4,2153,2120,35,5,17.0,901.0,3303.0,102,105,92,1,33,157.0,266.0,590,4,6,11,0,0,0,19
5058301,9,24,3,1728,1709,1726,1730,15.0,722.0,1741.0,58,81,47,0,19,64.0,210.0,296,3,8,0,0,0,0,0
1142938,2,21,4,810,745,1114,1047,5.0,583.0,3623.0,184,182,150,1,25,61.0,104.0,1062,5,29,25,0,2,0,0
3590228,6,8,7,1154,1140,1922,1924,6.0,1679.0,3486.0,268,284,249,0,14,264.0,18.0,2116,7,12,0,0,0,0,0
6447409,11,2,7,1843,1830,18,7,5.0,779.0,3870.0,215,217,193,1,13,259.0,136.0,1635,13,9,0,0,0,0,0
6437828,11,15,6,643,630,927,924,5.0,1406.0,737.0,224,234,200,0,13,96.0,136.0,1400,13,11,0,0,0,0,0
882144,2,28,4,707,700,1020,1019,16.0,676.0,4407.0,313,319,287,0,7,48.0,220.0,1999,13,13,0,0,0,0,0
4686396,8,6,3,1811,1733,1932,1904,12.0,1399.0,4686.0,81,91,59,1,38,87.0,135.0,383,8,14,28,0,0,0,0
616639,2,6,3,1455,1440,1554,1550,17.0,2286.0,4103.0,59,70,48,0,15,48.0,13.0,288,4,7,0,0,0,0,0
324583,1,17,4,1533,1514,1625,1608,7.0,4204.0,4590.0,52,54,26,1,19,55.0,18.0,106,12,14,0,0,0,0,17
3760098,7,31,4,958,925,1200,1112,19.0,2658.0,5028.0,182,167,136,1,33,63.0,20.0,1033,7,39,48,0,0,0,0
2875183,5,27,2,2144,2035,2333,2225,1.0,483.0,2037.0,109,110,90,1,69,210.0,286.0,585,4,15,0,27,0,0,41
